name,email,ngoType
Action For Integrated Development,aidkmmtstate@gmail.com,Community-Service
Dignity Drive Foundation,rengracej@gmail.com,Community-Service
Marpu Foundation,raghu@marpu.org,Community-Service
Mission Rural Foundation,info@missionrural.com,Community-Service
Robin Hood Army,info@robinhoodarmy.com,Community-Service
Samaritans for the Nation,samaritansforthenation@gmail.com,Community-Service
SIBARD,sibardngoorg@gmail.com,Community-Service
Spandana Cultural Organisation,scope1990ts@gmail.com,Community-Service
We Can Make A Change,info@wecanmakeachange.org,Community-Service
Youth for Seva,yfshyd@youthforseva.org,Community-Service
Aide et Action,suresh.gutta@aide-et-action.org,Education
Aikaarth,poojagarwal.13@gmail.com,Education
Akshara Foundation,akshararr2006@gmail.com,Education
Ananta Ananda Trust,vishal@anantaananda.com,Education
Bhaskara Foundation,bhaskarafoundationhyd@gmail.com,Education
Bookmarks Trust,contact@doscience.co.in,Education
Bring A Smile Foundation,bringasmileteam@gmail.com,Education
Bright Child Foundation,surya.jiddu@brightchildfoundation.org,Education
BSK & DB Life,director.dblife@gmail.com,Education
Career Launcher,cl.hyderabad.nanakramguda@careelauncher.com,Education
CFBT Education Services,sridevi.ramesh@cfbtes.com,Education
CONARE,conare@rediffmail.com,Education
Deepak Foundation,swati.sinha@deepakfoundation.org,Education
Dhathri Foundation,dhathri2020@gmail.com,Education
EdVenture Incubation Foundation,ceo@edventurepark.com,Education
Electronics Sector Skills,lalu@essc-india.org,Education
Esther Foundation,ravali.esther@gmail.com,Education
Freedom Again Foundation,freedomagainfoundation@gmail.com,Education
Give For Society,giveforsociety@gmail.com,Education
HASSS,po@hasss.org,Education
IIMAAA Hyderabad Chapter,contribute@udbhavschool.com,Education
Icare Foundation Telangana,icarefoundationts@gmail.com,Education
India Literacy Project,manmohan.jain@ilpnet.org,Education
Inqui-Lab Foundation,info@inqui-lab.org,Education
Jagruthi Rural Development,jagruthi.9499@gmail.com,Education
Jana Vikas Society,janavikas2009@gmail.com,Education
Jeevan And Women Empowerment,jjwes2021@gmail.com,Education
Joy of Reading,joyofreadingus@gmail.com,Education
KC Pullaiah Foundation,phanindra.j@kcpullaiahfoundation.org,Education
Kriti Social Initiatives,contact@kriti.org.in,Education
Launchpad Foundation,siva@launchpadllc.in,Education
Learning Curve Life Skills,swapna@learning-curve.co.in,Education
Mahananda Welfare Society,corporate@mahanandawelfare.org,Education
Nachiketa Tapovan,nachiketananda@gmail.com,Education
New Directions Educational,ram@ndskills.in,Education
Nirmaan Foundation,nikhil.gampa@nirmaan.org,Education
Noble Educational Empowerment,krish@noblehyd.org,Education
O.Y.S.T.E.R.,oyster442.09@gmail.com,Education
Pawa Charitable Trust,pawananda24@gmail.com,Education
People Service Organization,peopleserviceorg254@gmail.com,Education
Praying Lips Foundation,naveenvadde312@gmail.com,Education
Plan International India,ankush.khanna@planindia.org,Education
Rightsteps Foundation,rightstepsfoundation@gmail.com,Education
Routes 2 Roots,marketing@routes2roots.com,Education
Sahithi Foundation NGO,sahithifoundation2013@gmail.com,Education
Sankalp,rajeswarim@cornellsathgurufoundation.org,Education
Social Data Initiatives,info@sdif.in,Education
Soham Academy,jeshwanth@sohamacademy.org,Education
Solidar Telangana Trust,solidarandhratrust@yahoo.in,Education
Seva Bharati,kuldeep@sevabharathi.org,Education
SHINE,shinengo2014@gmail.com,Education
Sphoorthi Jyothi Foundation,sphoorthijyothifoundation@gmail.com,Education
Sun Charitable Trust,info@suncharitabletrust.org,Education
SVATAH Education Foundation,,Education
Tatvaa Foundation,tatvaafoundation@gmail.com,Education
Teach Mint,hetal@teachmint.com,Education
Tejas Foundation Trust,tejasfoundationjgl@gmail.com,Education
Telangana Development Forum,tdfindia2007@gmail.com,Education
TMI Foundation Trust,harisholety@tmie2e.com,Education
Touch a Life Foundation,jain.vibhuti2008@gmail.com,Education
United Way of Hyderabad,ashwaq@unitedwayhyderabad.org,Education
UpgradeMyClassroom,srihari.s@upgrademyclassroom.org,Education
Valmiki Foundation,service@valmikifoundation.org,Education
Voluntary Association for Resource,vard1380@gmail.com,Education
Youngistaan Foundation,arun@youngistaanfoundation.org,Education
Youth4Jobs,raj.reddy@youth4jobs.org,Education
Young Tinker Educational,hq@youngtinker.org,Education
321 Education Foundation,anushree.pandey@321-foundation.org,Education
Akshaya Patra,rajini.sinha@akshayapatra.org,Health-and-Wellness
Alzheimer's and Related Disorders,manitolety@gmail.com,Health-and-Wellness
Bal Raksha Bharat,shreya.arora@balrakshabharat.org,Health-and-Wellness
Bharat Dekho,bharatdekho2021@gmail.com,Health-and-Wellness
Biocon Foundation,info.bioconfoundation@biocon.com,Health-and-Wellness
Blood Warriors Foundation,Krishnav@bloodwarriors.in,Health-and-Wellness
Bright Side Foundation,koushikvedula@gmail.com,Health-and-Wellness
Cheyutha Rural Womens,cheyutha.org@gmail.com,Health-and-Wellness
Community Development Foundation,lakshmi.konamaneni@cpwf.org,Health-and-Wellness
Dr. Remedies Hope Foundation,srikanth@drhopefoundation.org,Health-and-Wellness
Extra Mile Foundation,info@theextramilefoundation.org,Health-and-Wellness
Fernandez Hospital Foundation,jaideep@fernandez.foundation,Health-and-Wellness
Fatima Old Age Home,fatimaoldagehome@gmail.com,Health-and-Wellness
Good Mind Foundation,saniya@goodmind.co,Health-and-Wellness
Good Universe,kamal@gooduniverse.org,Health-and-Wellness
Helping Hand Foundation,mujtaba.hasan.askari@gmail.com,Health-and-Wellness
HelpAge India,asis.mallik@helpageindia.org,Health-and-Wellness
ICICI Foundation,simon.pasala@icicifoundation.org,Health-and-Wellness
Indigenous Development Organization,indigenousdevelopment2019@gmail.com,Health-and-Wellness
Institute for Vision Rehabilitation,rehabemployment@lvpei.org,Health-and-Wellness
Kairavam,shalini@kairavam.com,Health-and-Wellness
Kriya Sangh Society,nayeem4all@gmail.com,Health-and-Wellness
Little Ones Cure Foundation,info@littleonescure.org,Health-and-Wellness
Manavatha Foundation,manavathafoundation@gmail.com,Health-and-Wellness
Meenakshi Venkatraman Foundation,ranganathan@eartohear.org,Health-and-Wellness
Mudita Foundation,miheekab@gmail.com,Health-and-Wellness
Naari,naari.wellness@gmail.com,Health-and-Wellness
Narsingh Swain Memorial,aakarasha.office@gmail.com,Health-and-Wellness
Prakruthi Charitable Foundation,kalpanasringar@rediffmail.com,Health-and-Wellness
Pushpagiri Vitreo Retina,csr@pvri.org,Health-and-Wellness
Pure Little Hearts Foundation,shalini.prabhata@rainbowhospitals.in,Health-and-Wellness
ROHINI Foundation,vimalakunduru@yahoo.com,Health-and-Wellness
Ramky Foundation,indu.dharavath@ramky.com,Health-and-Wellness
Rural Awareness For Integrated,raidsngo43@gmail.com,Health-and-Wellness
Sri Sathya Sai Divyaamritam,kumar.m@ssstfuw.org,Health-and-Wellness
Shri P.V Narasimha Rao,shripvnrtust@gmail.com,Health-and-Wellness
Second Chance,info@secondchanceindia.org,Health-and-Wellness
Smt Nandamuri Basavataraka,syamala@basavtarakam.org,Health-and-Wellness
Sparsh Hospice,promgr@sparshhospice.org,Health-and-Wellness
Sushena Health Foundation,kasinadhl@yahoo.co.in,Health-and-Wellness
Swastava Cancer Care,swastava.cancercare@gmail.com,Health-and-Wellness
Tata Trusts,,Health-and-Wellness
The AAYU Foundation,info@theaayufoundation.org,Health-and-Wellness
Visionspring Foundation,sonal.jain@visionspring.org,Health-and-Wellness
Welcare India Social Welfare,info@welcareindiafoundation.org,Health-and-Wellness
Ace Social Foundation,ri@acesocial.org,Other
AgHub Foundation,ceo@ag-hub.co,Other
Aasara Rural Development,ravigudepu456@gmail.com,Other
Aman Vedika,umbi56@gmail.com,Other
Ashray Akruti,dpkbabu2ashrayakruti.in,Other
ASRITHA,asrithaindia@gmail.com,Other
Arunodaya Trust,arunodayatrust2008@gmail.com,Other
BAIF Livelihoods,hemanth.rao@baif.org.in,Other
Blind Scribes,guppu476@gmail.com,Other
Child Suraksha Foundation,shashidharvarakala@childsurakshafoundation.org,Other
Council For Green Revolution,contact@cgrindia.org,Other
Commitments Trust,commitmentsk@gmail.com,Other
Dharmavana Nature Ark,ceo@dharmavananatureark.org,Other
Dhruvansh,madhulika.choudhary@gmail.com,Other
Ekalavya Foundation,adminofficer@ekalavya.net,Other
Forum for the Street Children,forum@anantaakash.org,Other
Grama Bharathi,gramabharathi.org@gmail.com,Other
Green Field Foundation,nagarajublore1@gmail.com,Other
Green Peace Environment,byrisrinivas005@gmail.com,Other
Helping Hands Humanity,helpinghandshumanity8@gmail.com,Other
Hyderabad Urban Lab,anil@hydlab.in,Other
IMPACT,impactsociety04@gmail.com,Other
Integrated Rural Development,akhilreddynandyala@gmail.com,Other
International Justice Mission,ajoseph@ijm.org,Other
Institute of Livelihood,navin.t@ilrtindia.org,Other
JOY Foundation,joyhyd.rmo@gmail.com,Other
Jeevan Aadhar Society,jeevanaadharsocietymhbd@gmail.com,Other
Learning Space Foundation,kaumudi@learningspace.co.in,Other
M R J Charitable Trust,mrjcharitabletrust@gmail.com,Other
MakeSoil India,makesoilindia@gmail.com,Other
Mahita,mahitahyd2002@yahoo.com,Other
Manodhairya Samsthan,manodhairyasamsthan@gmail.com,Other
Mahabubabad Spoorthi,mhbdspoorthisocialservice@gmail.com,Other
Mobbera Foundation,mobberafoundation@gmail.com,Other
Modern Architects For Rural India,murali-ed@mari-india.org,Other
Nauka Foundation,aishwarya.r@naukafoundation.org,Other
Navami Foundation,sunil.peddi90@gmail.com,Other
OLIVE Foundation Trust,info@olivefoundationindia.org,Other
Padmapani Society,contact@padmapani.org,Other
People Helping Children,contact@peoplehelpingchildren.in,Other
Questera Foundation,ruchi@questera.in,Other
Rainbow Homes,aharoan@rainbowhome.in,Other
Rubaroo,nehaswain@rubaroo.org,Other
SaciWATERs,info@saciwaters.org,Other
Sannihita Center,sannihitaindia@yahoo.com,Other
Sarada Educational Society,saradaeducationalsociety1989@gmail.com,Other
Society for Rural Development,srinivasre@yahoo.co.in,Other
Shramika Vikasa Kendram,svk_kollapur@yahoo.com,Other
SMEC Trust,partner@bharatcares.org,Other
Sphoorti Foundation,info@sphoorti.org,Other
Subhiksha Voluntary Organization,director@subhiksha.org,Other
Surge Impact Foundation,roshan@surgeimpact.org,Other
Swasha Swayam Shakthi,nagarjuna.manda@nirmaan.org,Other
Tapash's Society,bhavanag@tapashsociety.com,Other
Tharunam,founder@tharunam.org,Other
The Yacht Club Of Hyderabad,suheim@gmail.com,Other
Vaidehi Seva Samithi,vaidehisevasamithi@gmail.com,Other
Vridhi Foundation,vridhifoundation@gmail.com,Other
Voon Hands Foundation,voonhandsfoundation@gmail.com,Other
Winsol Educational Society,winravi2k8@gmail.com,Other
Where Are India's Children,meera@waic.in,Other
Yashoda Foundation,ramanujan.r@yashodamail.com,Other
Yugantar,tashi.choedup18@gmail.com,Other
Blue Cross of Hyderabad,bluecrosskumari@gmail.com,Wildlife
Deven's Hope Society,Devenbaheti@gmail.com,Wildlife
Humane Society International,asengupta@hsi.org,Wildlife
World Wide Fund for Nature,ftampal@wwfindia.net,Wildlife
Abhaya Foundation,abhayango2007@gmail.com,Women-Empowerment
Be The Change,contactlavanyagudelli@gmail.com,Women-Empowerment
Cornell Sathguru Foundation,rajeswarim@cornellsathgurufoundation.org,Women-Empowerment
Creyo,hello@creyo.com,Women-Empowerment
Hand in Hand India,johnchristopher.k@hihseed.org,Women-Empowerment
Heaven Homes Society,heavenhomessociety@gmail.com,Women-Empowerment
Invisible Scars Foundation,ektavv@invisiblescars.in,Women-Empowerment
Kaam4U Foundation,kaam4ufoundation@gmail.com,Women-Empowerment
Sahara Health and Development,director@saharasociety.com,Women-Empowerment
Sai Seva Sangh,saisevasangh99@gmail.com,Women-Empowerment
SAFA Society,imam@safaindia.org,Women-Empowerment
Sayodhya Home,sayodhya.hyd@gmail.com,Women-Empowerment
